id,nev,tipus,kanonikus
100,régiómenedzsment,feladat,régiómenedzsment
101,bolti eladás,feladat,bolti eladás
102,vásárlókiszolgálás,feladat,ügyfélszolgálat
109,lottózói feladatok,feladat,lottózói feladatok
110,árurendelés,feladat,árurendelés kezelése
113,üzleti lehetőségfelkutatás,feladat,üzleti fejlesztés
114,szerződéskezelés,feladat,szerződéskezelés
115,ipari tömítéstechnikai ismeretek,elvaras,ipari tömítéstechnikai ismeretek
116,ajánlatkezelés,feladat,ajánlatkezelés
119,pékáru ismerete,elvaras,pékáru ismerete
122,dohánytermék-értékesítés,feladat,dohánytermék-értékesítés
123,lottóterminál kezelése,feladat,lottóterminál kezelése
126,udvariasság,soft,udvariasság
127,szépségtanácsadás,feladat,szépségtanácsadás
128,kozmetikai termékismeretek,elvaras,kozmetikai termékismeretek
130,személyre szabott tanácsadás,feladat,személyre szabott tanácsadás
132,csemegepultos ismeretek,elvaras,csemegepult ismeretek
133,munkakörnyezet-tisztántartás,feladat,munkakörnyezet rendezettségének biztosítása
141,kereskedelmi ismeretek,elvaras,kereskedelmi ismeretek
144,vevőkiszolgálás,feladat,vevőkiszolgálás
145,rugalmas időbeosztás,soft,rugalmas időbeosztás
147,vevőtájékoztatás,feladat,ügyfélkommunikáció
148,akciók és kedvezmények ismerete,elvaras,akciók és kedvezmények ismerete
149,nappali tagozatos aktív hallgatói státusz,elvaras,nappali tagozatos hallgatói státusz
153,tanulás melletti munkavégzés,elvaras,tanulás melletti munkavégzés
161,árucímkézés,feladat,árucímkézés
163,pénztárosi szakképzettség,elvaras,pénztárosi szakképzettség
164,gyakorlat,elvaras,szakmai tapasztalat
167,18 év feletti életkor,elvaras,18. életév betöltése
170,utalvány és fizetőeszköz kezelése,feladat,utalvány- és fizetőeszköz-kezelés
171,termékismereti tudás,elvaras,termékismeret
172,kasszaterület karbantartása,feladat,kasszaterület karbantartása
173,precizitás,soft,precizitás
174,ügyfélbarát kommunikáció,soft,ügyfélkommunikáció
185,árumozgatás,feladat,árufeltöltés és rendezés
186,fizikai terhelhetőség,elvaras,fizikai terhelhetőség
187,raktári munka,feladat,raktári feladatok
192,ártáblák és címkék kihelyezése,feladat,ártáblák és címkék kihelyezése
193,szakképzettség,elvaras,szakképzettség
203,kedvesség,soft,kedvesség
204,segítőkészség,soft,segítőkészség
205,tapasztalatszerzés,soft,tapasztalatszerzésre való nyitottság
218,kedves kisugárzás,soft,kedvesség
220,vendégek kiszolgálása,feladat,vendégkiszolgálás
221,nappali tagozatos diák státusz,elvaras,nappali tagozatos hallgatói státusz
228,csomagszortírozás,feladat,csomagszortírozás
229,csomagmozgatás,feladat,csomagmozgatás
230,PDA kezelése,eszkoz,PDA kezelése
231,csomagbetárolás,feladat,csomagbetárolás
232,elektronikai eszközök kezelése,feladat,elektronikai eszközök kezelése
234,anyagmozgatás,feladat,anyagmozgatás
235,csomagolás,feladat,csomagolás
236,alapfokú iskolai végzettség,elvaras,alapfokú iskolai végzettség
237,műszakváltás,elvaras,műszakvállalás
238,túlóravállalás,elvaras,túlóravállalás
243,áruk összeválogatása,feladat,áruk összeválogatása
246,termékkezelés,feladat,termékkezelés
249,leltározás,feladat,leltározás
250,áruk rendszerezése,feladat,árufeltöltés és rendezés
254,szállítás előkészítése,feladat,szállítás előkészítése
255,rakodás,feladat,rakodás
257,kézi anyagmozgatás,feladat,kézi anyagmozgatás
258,gépi anyagmozgatás,feladat,gépi anyagmozgatás
261,anyagellátás,feladat,anyagellátás
262,logisztikai előkészítés,feladat,logisztikai előkészítés
263,hulladékkezelés,feladat,hulladékkezelés
264,SAP kezelése,eszkoz,SAP kezelése
265,készletszámlálás,feladat,készletszámlálás
266,raktározás,feladat,raktári feladatok
267,árukészítés,feladat,árukészítés
268,targonca kezelése,feladat,targoncakezelés
269,kommunikációs képesség,soft,kommunikációs készség
271,alapanyag-előkészítés,feladat,alapanyag-előkészítés
272,gyártósori gépek kezelése,feladat,gépek üzemeltetése
273,gépkarbantartás,feladat,gépkarbantartás
274,géphibák elhárítása,feladat,géphibaelhárítás
276,daruzás,feladat,emelőgép-kezelés
277,üzemi rendtartás,feladat,üzemi rendtartás
279,nappali munkavégzés,elvaras,nappali munkavégzés
281,komissiózás,feladat,komissiózás
282,megrendelés-feldolgozás,feladat,megrendelés-feldolgozás
283,gyártásban való részvétel,feladat,gyártásban való részvétel
284,gépek kiszolgálása,feladat,gépek kiszolgálása
285,gyártósor ellátása,feladat,gyártósor ellátása
286,vizuális ellenőrzés,feladat,vizuális ellenőrzés
287,adminisztráció,feladat,adminisztráció
288,emelőgép kezelése,feladat,emelőgép-kezelés
291,tűzvédelmi szabályok ismerete,elvaras,tűzvédelmi szabályok ismerete
292,küldemény feldolgozása,feladat,küldeményfeldolgozás
293,8 általános iskolai végzettség,elvaras,8 általános iskolai végzettség
294,bejegyzésmentes erkölcsi bizonyítvány,elvaras,bejegyzésmentes erkölcsi bizonyítvány
295,címkézés,feladat,címkézés
296,ragasztószalag kezelése,feladat,ragasztószalag kezelése
297,munkaterület tisztántartása,feladat,munkaterület tisztántartása
298,raktár takarítása,feladat,raktár takarítása
299,fizikai állóképesség,soft,fizikai állóképesség
300,gyors munkavégzés,soft,gyors munkavégzés
301,felelősségteljesség,soft,felelősségteljesség
303,raktári munkák,feladat,raktári feladatok
306,targonca jogosítvány,elvaras,targoncavezetői jogosítvány
309,német nyelvtudás,elvaras,német nyelvtudás
311,rekeszek mozgatása,feladat,rekeszek mozgatása
312,szedőállványok mozgatása,feladat,szedőállványok mozgatása
313,raklapok mozgatása,feladat,raklapok mozgatása
314,fizikai munkavégzés,soft,fizikai munkavégzés
316,pizzasütés,feladat,pizzasütés
317,pultos munka,feladat,pultos feladatok
318,vendégkiszolgálás,feladat,vendégkiszolgálás
320,energikusság,soft,energikusság
321,szakács végzettség,elvaras,szakács végzettség
322,diétás szakács végzettség,elvaras,diétás szakács végzettség
323,2-3 éves szakmai tapasztalat,elvaras,szakmai tapasztalat
324,ételkészítés,feladat,ételkészítés
325,szakirányú végzettség,elvaras,szakképzettség
326,alapanyagok feldolgozása,feladat,alapanyagok feldolgozása
328,adagolás és tálalás,feladat,adagolás és tálalás
329,árurendelés kezelése,feladat,árurendelés kezelése
330,terhelhetőség,soft,terhelhetőség
332,reggeliztető szakács végzettség,elvaras,reggeliztető szakács végzettség
333,reggeli ételek készítése,feladat,reggeli ételek készítése
334,látvány pult munka,feladat,látványpult munka
335,minőségtudatosság,soft,minőségtudatosság
337,alapanyagok előkészítése,feladat,alapanyagok előkészítése
338,reggeli fogások készítése,feladat,reggeli ételek készítése
339,a'la carte ételkészítés,feladat,a la carte ételkészítés
340,igényes munkavégzés,soft,igényesség
341,konyhai alapismeretek,elvaras,konyhai alapismeretek
342,segédszakács feladatok,feladat,segédszakács feladatok
344,fejlődési motiváció,soft,fejlődési motiváció
346,német nyelv (önálló kommunikáció),elvaras,német nyelvtudás
347,felszolgálás,feladat,felszolgálás
350,konyhai előkészítés,feladat,konyhai előkészítés
352,saláta készítés,feladat,salátakészítés
353,pékségi munka,feladat,pékségi feladatok
354,tanulási motiváció,soft,tanulási motiváció
355,konyhai kisegítés,feladat,konyhai kisegítés
358,pályakezdő alkalmasság,elvaras,pályakezdő alkalmasság
363,stressztűrés,soft,stressztűrő képesség
366,reggeliztető szakács,elvaras,reggeli ételek készítése
367,szállodai reggelik készítése,elvaras,szállodai reggelik készítése
369,konyhai tapasztalat,elvaras,konyhai tapasztalat
371,pontosság,soft,pontosság
373,igényesség,soft,igényesség
374,HACCP szabályok betartása,elvaras,HACCP előírások betartása
375,higiénia,elvaras,higiénia
376,receptúrák alapján ételkészítés,feladat,receptúrák alapján ételkészítés
377,hozzávalók előkészítése,feladat,alapanyagok előkészítése
379,csapatmunkára való képesség,soft,csapatmunka
380,à la carte szakács,elvaras,a la carte ételkészítés
381,minőségi munkavégzés,soft,minőségi munkavégzés
382,szaktudás,elvaras,szaktudás
383,szakács,elvaras,szakács
384,főzéshez való szenvedély,soft,főzés iránti szenvedély
385,Michelin Guide szintű ételkészítés,elvaras,Michelin Guide szintű ételkészítés
386,pizzaszakács,elvaras,pizzaszakács
388,pályakezdőként való tanulékonyság,soft,tanulékonyság
389,diétás ételkészítés,feladat,diétás ételkészítés
390,speciális étrendeknek megfelelő ételkészítés,feladat,speciális étrendeknek megfelelő ételkészítés
391,ételek fűszerezése,feladat,ételek fűszerezése
392,nyersanyagok feldolgozásának ellenőrzése,feladat,nyersanyagok feldolgozásának ellenőrzése
393,konyhai higiénia,feladat,konyhai higiénia
395,főzés közétkeztetésben,feladat,főzés közétkeztetésben
396,sütés közétkeztetésben,feladat,sütés közétkeztetésben
397,menüterv alapján ételkészítés,feladat,menüterv alapján ételkészítés
400,szakmai tapasztalat,elvaras,szakmai tapasztalat
402,közétkeztetés,elvaras,közétkeztetési tapasztalat
405,ital készítés,feladat,italkészítés
407,koktél készítés,feladat,italok elkészítése
409,bárkészlet optimalizálása,feladat,bárkészlet optimalizálása
411,elszámolások kezelése,feladat,elszámolások kezelése
412,exkluzív vendégfogadás,soft,exkluzív vendégfogadás
413,barista készségek,elvaras,barista készségek
414,rendelős szoftver kezelése,eszkoz,rendelési szoftver kezelése
419,pultkezelés,feladat,pultos feladatok
420,váltóműszak vállalása,soft,műszak vállalása
425,minőségi kiszolgálás,soft,minőségi kiszolgálás
427,vendéglátási ismeretek,elvaras,vendéglátási ismeretek
428,éttermi felszolgálás,feladat,ételek és italok felszolgálása
429,pincér szakképzettség,elvaras,pincér szakképzettség
432,gépjárművezetői engedély,elvaras,gépjárművezetői engedély
433,ételek és italok felszolgálása,feladat,ételek és italok felszolgálása
434,edényzet kezelése,feladat,edényzet kezelése
435,felszolgálói tapasztalat,elvaras,felszolgálói munka
439,ambíció,soft,ambíció
441,vendégfogadás,feladat,vendégfogadás
442,rendelések felvétele,feladat,rendelésfelvétel
445,vendégfogadás és leültetés,feladat,vendégfogadás és leültetés
446,étlap ismertetése,feladat,étlap ismertetése
448,magabiztosság,soft,magabiztosság
451,ételek és italok professzionális felszolgálása,feladat,ételek és italok felszolgálása
453,ambíció és motiváció,soft,ambíció és motiváció
454,ételek felszolgálása,feladat,ételek és italok felszolgálása
456,kitartás,soft,kitartás
458,felszolgálói tapasztalat legalább 1 év,elvaras,felszolgálói munka
459,vendéglátás iránti szenvedély,soft,vendéglátás iránti szenvedély
460,felszolgálói feladatok ellátása,feladat,felszolgálói feladatok ellátása
462,nagyforgalmú vendégtér kezelése,elvaras,nagyforgalmú vendégtér kezelése
463,prémium vendéglátás,elvaras,prémium vendéglátás
465,asztal terítése és leszedése,feladat,asztal terítése és leszedése
466,rakodás és pakolás,feladat,rakodás
467,pohár tisztítása,feladat,pohár tisztítása
468,rugalmas munkavégzés,soft,rugalmasság
469,felszolgálói munka prémium környezetben,elvaras,felszolgálói munka prémium környezetben
470,nemzetközi vendégek kiszolgálása,feladat,nemzetközi vendégek kiszolgálása
471,elegáns megjelenés és viselkedés,soft,elegáns megjelenés és viselkedés
472,vendéglátási kultúra ismerete,elvaras,vendéglátási kultúra ismerete
474,több műszakos munka,elvaras,több műszakos munkarend vállalása
477,ételek és italok felszolgálása az asztaloknál,feladat,ételek és italok felszolgálása
480,IT alapismeretek,elvaras,IT alapismeretek
481,technikai támogatás,feladat,technikai támogatás
482,IT végzettség vagy egyenértékű tapasztalat,elvaras,IT végzettség vagy egyenértékű tapasztalat
483,1-3 év technikai támogatás tapasztalat,elvaras,technikai támogatás tapasztalat
484,lengyel és német nyelvismeret,elvaras,lengyel és német nyelvismeret
485,ügyfélszolgálat,feladat,ügyfélszolgálat
486,panaszkezelés,feladat,panaszkezelés
487,megrendelések rögzítése,feladat,rendelésrögzítés
488,telefonos kommunikáció,feladat,telefonos kommunikáció
489,szállítási szolgáltatások ismerete,elvaras,szállítási szolgáltatások ismerete
491,termékismereti tanácsadás,feladat,termékismereti tanácsadás
492,rendeléskezelés,feladat,rendeléskezelés
493,interperszonális kommunikáció,soft,interperszonális készségek
494,gyors problémamegoldás,soft,gyors problémamegoldás
496,német nyelvismeret,elvaras,német nyelvtudás
497,vevőkapcsolat-kezelés,feladat,ügyfélkapcsolat-kezelés
498,kazántechnika ismerete,elvaras,kazántechnika ismerete
499,SAS 9.x,eszkoz,SAS 9.x
500,SAS Customer Intelligence 6.x,eszkoz,SAS Customer Intelligence 6.x
501,"Linux adminisztráció (RHEL, Debian)",elvaras,Linux adminisztráció
502,termelési környezet automatizálása,elvaras,termelési környezet automatizálása
503,rendszerprobléma-megoldás,feladat,rendszerprobléma-megoldás
506,vállalati irányítási rendszer kezelése,elvaras,vállalati irányítási rendszer kezelése
507,kommunikáció,soft,kommunikációs készség
508,műanyag termékek ismerete,elvaras,műanyag termékek ismerete
512,pénzintézeti ismeretek,elvaras,pénzintézeti ismeretek
513,ügyfélmegkeresések kezelése,feladat,ügyfélmegkeresések kezelése
515,email-kezelés,feladat,e-mail kommunikáció
516,személyes ügyfélszolgálat,feladat,személyes ügyfélszolgálat
517,logisztikai és vámszolgáltatás ismerete,elvaras,logisztikai és vámszolgáltatás ismerete
519,ügyfélkommunikáció,soft,ügyfélkommunikáció
520,empátia,soft,empátia
521,problémamegoldás,soft,problémamegoldás
522,hívásfogadás és átkapcsolás,feladat,hívásfogadás és átkapcsolás
524,chat-támogatás,feladat,chat-támogatás
528,ügyfélszolgálati támogatás,feladat,ügyfélszolgálat
534,e-mail kommunikáció,feladat,e-mail kommunikáció
535,chat támogatás,feladat,chat-támogatás
536,technikai hibaelhárítás,feladat,technikai támogatás tapasztalat
537,termékbeállítás és konfiguráció,feladat,termékbeállítás és konfiguráció
539,középfokú végzettség,elvaras,középfokú végzettség
540,rendelések rögzítése és módosítása,feladat,rendelésrögzítés és -módosítás
542,írásbeli kommunikáció,soft,írásbeli kommunikáció
543,szóbeli kommunikáció,feladat,szóbeli kommunikáció
544,árajánlatok készítése,feladat,árajánlatok készítése
545,ügyfélszolgálati feladatok,feladat,ügyfélszolgálat
546,hívásfogadás,feladat,bejövő hívások kezelése
547,e-mail megválaszolása,feladat,e-mail kezelés
550,lengyel nyelvtudás,elvaras,lengyel nyelvtudás
555,spanyol nyelvtudás,elvaras,spanyol nyelvtudás
560,francia nyelvtudás,elvaras,francia nyelvtudás
568,banki ügyfélszolgálat,feladat,banki ügyfélszolgálat
572,otthoni munkavégzés,elvaras,otthoni munkavégzés vállalása
573,szlovák nyelvtudás,elvaras,szlovák nyelvtudás
574,magyar nyelvtudás,elvaras,magyar nyelvtudás
577,határidőkezelés,soft,határidőkezelés
579,ügyfél-elégedettség biztosítása,feladat,ügyfél-elégedettség biztosítása
580,ügyfelek és partnerek kérdéseinek kezelése,feladat,ügyfél- és partnerkérdések kezelése
581,üzleti növekedés támogatása,feladat,üzleti fejlesztés
582,adminisztratív feladatok ellátása,feladat,Adminisztratív feladatok
583,digitális tartalmak ellenőrzése,feladat,digitális tartalmak ellenőrzése
584,szervezettség,soft,szervezési készség
585,részletességre való képesség,soft,precizitás
586,képzések lebonyolítása,feladat,képzések lebonyolítása
587,szervezési feladatok,feladat,szervezési készség
589,munkatársak fejlődésének támogatása,feladat,munkatársak fejlődésének támogatása
590,online oktatási tartalmak koordinálása,feladat,online oktatási tartalmak koordinálása
591,kurzusok szervezése,feladat,kurzusszervezés
592,üzleti oktatás ismerete,elvaras,üzleti oktatási ismeretek
593,programozás alapismerete,elvaras,programozási alapismeretek
594,logisztikai ügyintézés,feladat,logisztikai ügyintézés
595,logisztikai ügyintéző végzettség,elvaras,logisztikai ügyintéző végzettség
596,2-3 éves logisztikai tapasztalat,elvaras,logisztikai tapasztalat
597,angol nyelvtudás (középszint),elvaras,angol nyelvtudás
598,szervezési készség,soft,szervezési készség
599,kommunikációs készség,soft,kommunikációs készség
600,felnőttképzési szolgáltatások koordinálása,feladat,felnőttképzési szolgáltatások koordinálása
601,képzési folyamatok end-to-end működtetése,feladat,képzési folyamatok end-to-end működtetése
602,felnőttképzési szakmai vezetés,elvaras,felnőttképzési szakmai vezetés
603,operatív és stratégiai koordináció,feladat,operatív és stratégiai koordináció
604,tapasztalat a képzési szektorban,elvaras,képzési szektorban szerzett tapasztalat
605,tananyag tervezése és fejlesztése,feladat,tananyagtervezés és -fejlesztés
606,tananyag folyamatos javítása,feladat,tananyag folyamatos javítása
607,értékesítési képzési tartalmak fejlesztése,feladat,értékesítési képzési tartalmak fejlesztése
608,oktatási tartalmak tervezése,elvaras,oktatási tartalomtervezés
609,tanulási módszertanok ismerete,elvaras,tanulási módszertanok ismerete
610,postai és futárküldemények kezelése,feladat,postai és küldeménykezelés
611,iktatás,feladat,dokumentációkezelés
612,általános irodai adminisztratív feladatok,feladat,általános irodai adminisztráció
613,fénymásolás és szkennelés,feladat,fénymásolás és szkennelés
614,nyilvántartások vezetése,feladat,nyilvántartás-vezetés
616,képzések adminisztrációja,feladat,képzési adminisztráció
617,tanfolyamok meghirdetése,feladat,tanfolyamok meghirdetése
618,oktatási programok szervezése,feladat,oktatási programok szervezése
619,csoportok indítása és nyilvántartása,feladat,csoportok indítása és nyilvántartása
620,adminisztratív ügyintézés,feladat,Adminisztratív feladatok
621,dokumentumok és szerződések adminisztratív kezelése,feladat,dokumentum- és szerződéskezelés
622,postai adminisztráció,feladat,postai adminisztráció
623,készletgazdálkodás,feladat,készletgazdálkodás
624,rendezvények szervezése,feladat,rendezvényszervezés
626,helyettesítési készség,soft,rugalmasság
627,recepciós feladatok,feladat,recepciós feladatok
629,számítógépes alapismeretek,elvaras,számítógépes ismeretek
630,kommunikativitás,soft,kommunikációs készség
631,kedvesség és professzionalizmus,soft,professzionális hozzáállás
632,vendégek fogadása és bejelentkezésének intézése,feladat,vendégfogadás
633,vendégek kérdéseinek és kéréseinek kezelése,feladat,vendégkérdések és -kérések kezelése
635,recepciós adminisztratív feladatok,feladat,recepciós feladatok
636,telefonhívások kezelése,feladat,telefonkezelés
637,levelezés és küldemények kezelése,feladat,postai és küldeménykezelés
638,ügyfélkezelés,feladat,ügyfélkapcsolat-kezelés
639,angol nyelvtudás szóban és írásban,elvaras,angol nyelvtudás
640,váltakozó nappalos és éjszakás műszak vállalása,elvaras,műszakvállalás
641,szállodai recepciós munka,feladat,szállodai recepciós feladatok
643,nemzetközi környezetben való munkavégzés,elvaras,nemzetközi környezetben való munkavégzés
645,vendégközpontúság,soft,vendégközpontúság
646,vendégek fogadása és elutaztatása,feladat,vendégfogadás és elutaztatás
647,ajánlatkészítés,feladat,ajánlatkészítés
648,foglalások kezelése,feladat,foglaláskezelés
649,szállodai szolgáltatások ismerete,elvaras,szállodaipari ismeretek
651,"dokumentumok érkeztetése, iktatása és továbbítása",feladat,dokumentációkezelés
652,futárok és csomagok kezelése,feladat,postai és küldeménykezelés
653,ügyféleknek nyújtott alapvető információ,feladat,információnyújtás
654,adminisztratív támogatás,feladat,általános irodai adminisztráció
655,naptárkezelés,feladat,naptárkezelés
656,vendégek fogadása és informálása,feladat,vendégfogadás és informálás
658,társosztályokkal való telefonos kapcsolattartás,feladat,társosztályokkal való telefonos kapcsolattartás
659,adminisztratív teendők ellátása,feladat,Adminisztratív feladatok
660,csomagok átvétele,feladat,csomagok átvétele
661,hasonló munkakörben szerzett tapasztalat,elvaras,releváns munkatapasztalat
662,vendégek fogadása és gondozása,feladat,vendégek fogadása és gondozása
663,éjszakai műszak vállalása,elvaras,műszak vállalása
664,vendégközpontú hozzáállás,soft,vendégközpontúság
666,vendégek udvarias fogadása,soft,udvariasság
667,vendégek regisztrálása,feladat,vendégfogadás
668,vendégek elirányítása,feladat,vendégek elirányítása
670,ingatlankezelési rendszerek ismerete,elvaras,ingatlankezelési rendszerek ismerete
671,digitalizált megoldások kezelése,feladat,digitalizált megoldások kezelése
672,vagyonvédelmi és távfelügyeleti ismeretek,elvaras,vagyonvédelmi és távfelügyeleti ismeretek
673,bérszámfejtés,feladat,bérszámfejtés
674,TB ügyintézés,feladat,társadalombiztosítási ügyintézés
675,Microsoft Office,eszkoz,Microsoft Office
676,Excel függvények,elvaras,excel függvények ismerete
677,magyar jogszabályi ismeretek,elvaras,magyar jogszabályi ismeretek
678,HR ügyintézés,feladat,HR ügyintézés
679,mérlegképes könyvelés,elvaras,mérlegképes könyvelés
680,könyvelői munkatapasztalat,elvaras,könyvelői munkatapasztalat
681,precíz munkavégzés,soft,precizitás
683,Excel,eszkoz,Excel
684,irodai szoftverek,elvaras,irodai szoftverek ismerete
685,számlák ellenőrzése,feladat,számlák ellenőrzése
686,számlák feldolgozása,feladat,számlafeldolgozás
687,dokumentumok szkennelése,feladat,fénymásolás és szkennelés
688,szkenner kezelése,feladat,szkenner kezelése
689,számviteli ügyintézés,feladat,számviteli ügyintézés
691,transzferár tanácsadás,feladat,transzferár tanácsadás
692,adótanácsadás,feladat,Adótanácsadás
693,nemzetközi adózás,elvaras,nemzetközi adózási ismeretek
695,ÁFA tanácsadás,feladat,ÁFA tanácsadás
697,magyar adózási ismeretek,elvaras,magyar adózási ismeretek
698,üzleti tanácsadás,feladat,üzleti tanácsadás
700,Global Mobility tanácsadás,feladat,Global Mobility tanácsadás
702,személyi jövedelemadó tanácsadás,feladat,személyi jövedelemadó tanácsadás
706,munkaügyi dokumentáció,feladat,munkaügyi dokumentáció kezelése
707,munkaidő nyilvántartás,feladat,munkaidő nyilvántartás vezetése
708,adatkezelés,feladat,adatkezelés
710,munkatapasztalat,elvaras,munkatapasztalat
715,ügyfélkapcsolat kezelése,soft,ügyfélkapcsolat-kezelés
716,dokumentáció vezetése,feladat,dokumentációkezelés
718,adótanácsadási tapasztalat,elvaras,Adótanácsadás
719,ügyféli kommunikáció,soft,ügyfélkommunikáció
721,energiaipari szektori ismeretek,iparag,energiaipari ismeretek
722,senior szintű tapasztalat,elvaras,senior szintű tapasztalat
725,társadalombiztosítási ügyintézés,feladat,társadalombiztosítási ügyintézés
726,be- és kijelentések adminisztrációja,feladat,be- és kijelentések adminisztrációja
727,adó- és járulékbevallások készítése,feladat,adó- és járulékbevallások készítése
728,munkaügyi statisztikák készítése,feladat,munkaügyi statisztikák készítése
729,"NAV, OEP, MÁK, KSH kommunikáció",feladat,"NAV, OEP, MÁK, KSH kommunikáció"
730,M&A tanácsadás,feladat,M&A tanácsadás
731,nemzetközi adótanácsadás,feladat,nemzetközi adótanácsadás
732,közgazdasági vagy üzleti végzettség,elvaras,közgazdasági vagy üzleti végzettség
733,ügyféli munka,feladat,ügyfélmunka
736,könyvelőirodai gyakorlat,elvaras,könyvelőirodai gyakorlat
737,junior könyvelői ismeretek,elvaras,junior könyvelői ismeretek
740,egyéni vállalkozások adózása,elvaras,egyéni vállalkozások adózási ismerete
741,társas vállalkozások adózása,elvaras,társas vállalkozások adózási ismerete
742,felelőségbiztosítás,elvaras,felelősségbiztosítási ismeretek
746,ügyféli tanácsadás,feladat,ügyféltanácsadás
747,közvetett adózás megfelelősége,feladat,közvetett adózás megfelelőségének biztosítása
748,tax compliance,feladat,adóügyi megfelelés biztosítása
749,energiaipar ismerete,iparag,energiaipari ismeretek
752,bérügyintézés,feladat,bérügyintézés
753,kontírozás,feladat,kontírozás
754,könyvelés,feladat,könyvelés
755,középfokú közgazdasági végzettség,elvaras,középfokú közgazdasági végzettség
757,ERP rendszer kezelése,feladat,ERP rendszer kezelése
761,kapcsolószekrény szerelése,feladat,kapcsolószekrény szerelése
762,ipari villanyszerelés,elvaras,ipari villanyszerelés
764,tapasztalat,elvaras,munkatapasztalat
765,építőipari villanyszerelés,feladat,építőipari villanyszerelés
768,villamoshálózat szerelése,feladat,villanyszerelés
769,villamoshálózat bővítése,feladat,villamoshálózat bővítése
770,lámpatestek szerelése,feladat,lámpatestek szerelése
771,terv szerinti karbantartás,feladat,terv szerinti karbantartás
780,érintésvédelmi ellenőrzések,feladat,érintésvédelmi ellenőrzések
781,középfokú szakirányú végzettség,elvaras,középfokú szakirányú végzettség
782,villanyszerelő szakképzettség,elvaras,villanyszerelő végzettség
